pitch,roll,yawRate,distanceCM,pressureDeltaPa,isDriving,gForce,smoothedTotalEnergy,label_isHandling,label_isFreeFalling,label_hazardDetected,label_isImpactDetected
-5.131,-1.724,0.001,229.02,0,0,1.044,0.188,0,0,0,0
-5.131,-1.724,0.001,229.02,0,0,1.044,0.188,0,0,0,0
-5.131,-1.724,0.001,229.02,0,0,1.044,0.188,0,0,0,0
-5.129,-1.719,0,220.61,0,0,1.04,0.188,0,0,0,0
-5.129,-1.719,0,220.61,0,0,1.04,0.188,0,0,0,0
-5.13,-1.716,0,220.61,0,0,1.039,0.188,0,0,0,0
-5.13,-1.716,0,229,0.17,0,1.039,0.188,0,0,0,0
-5.13,-1.716,0,229,0.17,0,1.039,0.188,0,0,0,0
-5.128,-1.717,0.001,229,0.17,0,1.053,0.188,0,0,0,0
-5.128,-1.717,0.001,229,0.17,0,1.053,0.209,0,0,0,0
-5.128,-1.717,0.001,229,0.17,0,1.053,0.209,0,0,0,0
-5.128,-1.717,0.001,229,0.17,0,1.053,0.209,0,0,0,0
-5.122,-1.72,0.001,220.16,-0.17,0,1.04,0.209,0,0,0,0
-5.122,-1.72,0.001,220.16,-0.17,0,1.04,0.209,0,0,0,0
-5.122,-1.72,0.001,220.16,-0.17,0,1.04,0.209,0,0,0,0
-5.123,-1.72,0.001,220.16,0.17,0,1.042,0.209,0,0,0,0
-5.123,-1.72,0.001,220.16,0.17,0,1.042,0.209,0,0,0,0
-5.123,-1.72,0.001,220.16,0.17,0,1.042,0.209,0,0,0,0
-5.123,-1.72,0.001,220.16,0.17,0,1.042,0.209,0,0,0,0
-5.123,-1.72,0.001,220.16,0.17,0,1.042,0.209,0,0,0,0
-5.122,-1.715,-0.002,220.16,-0.52,0,1.035,0.192,0,0,0,0
-5.122,-1.715,-0.002,220.16,-0.52,0,1.035,0.192,0,0,0,0
-5.122,-1.715,-0.002,220.16,-0.52,0,1.035,0.192,0,0,0,0
-5.122,-1.715,-0.002,220.16,-0.52,0,1.035,0.192,0,0,0,0
-5.127,-1.712,-0.002,228.56,0,0,1.041,0.192,0,0,0,0
-5.127,-1.712,-0.002,228.56,0,0,1.041,0.192,0,0,0,0
-5.127,-1.712,-0.002,228.56,0,0,1.041,0.192,0,0,0,0
-5.128,-1.71,-0.002,228.58,0,0,1.034,0.192,0,0,0,0
-5.128,-1.71,-0.002,228.58,0,0,1.034,0.192,0,0,0,0
-5.131,-1.711,0,228.58,0,0,1.043,0.211,0,0,0,0
-5.131,-1.711,0,228.58,0,0,1.043,0.211,0,0,0,0
-5.131,-1.711,0,228.58,0,0,1.043,0.211,0,0,0,0
-5.139,-1.714,0,228.58,0.17,0,1.044,0.211,0,0,0,0
-5.139,-1.714,0,228.58,0.17,0,1.044,0.211,0,0,0,0
-5.139,-1.714,0,228.58,0.17,0,1.044,0.211,0,0,0,0
-5.139,-1.714,0,228.58,0.17,0,1.044,0.211,0,0,0,0
-5.139,-1.714,0,228.58,0.17,0,1.044,0.211,0,0,0,0
-5.138,-1.715,0.001,228.58,0,0,1.03,0.211,0,0,0,0
-5.138,-1.715,0.001,228.58,0,0,1.03,0.211,0,0,0,0
-5.138,-1.715,0.001,228.58,0,0,1.03,0.211,0,0,0,0
-5.138,-1.715,0.001,228.58,0,0,1.03,0.211,0,0,0,0
-5.138,-1.715,0.001,228.58,0,0,1.03,0.211,0,0,0,0
-5.138,-1.715,0.001,228.58,0,0,1.03,0.211,0,0,0,0
-5.138,-1.721,0,228.58,0.17,0,1.043,0.192,0,0,0,0
-5.13,-1.72,0,228.58,0.17,0,1.043,0.209,0,0,0,0
-5.13,-1.72,0,228.58,0.17,0,1.043,0.209,0,0,0,0
-5.128,-1.724,0.002,228.58,0.17,0,1.042,0.209,0,0,0,0
-5.128,-1.724,0.002,219.7,0,0,1.042,0.209,0,0,0,0
-5.128,-1.724,0.002,219.7,0,0,1.042,0.209,0,0,0,0
-5.128,-1.724,0.002,219.7,0,0,1.042,0.209,0,0,0,0
-5.126,-1.723,-0.001,219.7,0,0,1.047,0.174,0,0,0,0
-5.126,-1.723,-0.001,219.7,0,0,1.047,0.174,0,0,0,0
-5.126,-1.723,-0.001,219.7,0,0,1.047,0.174,0,0,0,0
-5.124,-1.721,-0.001,219.7,0,0,1.038,0.174,0,0,0,0
-5.124,-1.721,-0.001,219.7,0,0,1.038,0.174,0,0,0,0
-5.128,-1.722,-0.001,220.12,-0.17,0,1.026,0.174,0,0,0,0
-5.128,-1.722,-0.001,220.12,-0.17,0,1.026,0.174,0,0,0,0
-5.128,-1.722,-0.001,220.12,-0.17,0,1.026,0.174,0,0,0,0
-5.124,-1.721,0,219.7,0,0,1.039,0.174,0,0,0,0
-5.124,-1.721,0,219.7,0,0,1.039,0.174,0,0,0,0
-5.124,-1.721,0,219.7,0,0,1.039,0.174,0,0,0,0
-5.119,-1.723,-0.002,219.7,0,0,1.039,0.174,0,0,0,0
-5.119,-1.723,-0.002,220.12,0.34,0,1.039,0.202,0,0,0,0
-5.119,-1.723,-0.002,220.12,0.34,0,1.039,0.202,0,0,0,0
-5.119,-1.723,-0.002,220.12,0.34,0,1.039,0.202,0,0,0,0
-5.118,-1.72,-0.002,221.04,0,0,1.037,0.202,0,0,0,0
-5.118,-1.72,-0.002,221.04,0,0,1.037,0.202,0,0,0,0
-5.118,-1.72,-0.002,221.04,0,0,1.037,0.202,0,0,0,0
-5.119,-1.719,0.001,221.04,0,0,1.028,0.208,0,0,0,0
-5.119,-1.719,0.001,221.04,0,0,1.028,0.208,0,0,0,0
-5.119,-1.719,0.001,221.04,0,0,1.028,0.208,0,0,0,0
-5.115,-1.722,-0.001,228.53,-0.38,0,1.043,0.208,0,0,0,0
-5.115,-1.722,-0.001,228.53,-0.38,0,1.043,0.208,0,0,0,0
-5.115,-1.722,-0.001,228.53,-0.38,0,1.043,0.208,0,0,0,0
-5.114,-1.723,-0.001,228.96,-0.16,0,1.028,0.199,0,0,0,0
-5.114,-1.723,-0.001,228.96,-0.16,0,1.028,0.199,0,0,0,0
-5.114,-1.723,-0.001,228.96,-0.16,0,1.028,0.199,0,0,0,0
-5.122,-1.722,-0.001,228.96,0.16,0,1.04,0.227,0,0,0,0
-5.122,-1.722,-0.001,228.96,0.16,0,1.04,0.227,0,0,0,0
-5.122,-1.722,-0.001,228.96,0.16,0,1.04,0.227,0,0,0,0
-5.122,-1.722,-0.001,228.96,0.16,0,1.04,0.227,0,0,0,0
-5.121,-1.723,-0.002,228.96,-0.16,0,1.051,0.193,0,0,0,0
-5.121,-1.723,-0.002,228.96,-0.16,0,1.051,0.193,0,0,0,0
-5.119,-1.726,0.001,228.95,0,0,1.032,0.193,0,0,0,0
-5.119,-1.726,0.001,228.95,0,0,1.032,0.193,0,0,0,0
-5.119,-1.726,0.001,228.95,0,0,1.032,0.193,0,0,0,0
-5.119,-1.726,0.001,228.95,0,0,1.032,0.193,0,0,0,0
-5.119,-1.726,0.001,228.95,0,0,1.032,0.193,0,0,0,0
-5.119,-1.726,0.001,228.95,0,0,1.032,0.193,0,0,0,0
-5.119,-1.726,0.001,228.95,0,0,1.032,0.193,0,0,0,0
-5.116,-1.729,-0.001,228.95,-0.54,0,1.036,0.158,0,0,0,0
-5.116,-1.729,-0.001,228.95,-0.17,0,1.036,0.16,0,0,0,0
-5.116,-1.729,-0.001,228.95,-0.17,0,1.036,0.16,0,0,0,0
-5.116,-1.729,-0.001,228.95,-0.17,0,1.036,0.16,0,0,0,0
-5.116,-1.729,-0.001,228.95,-0.17,0,1.036,0.16,0,0,0,0
-5.116,-1.729,-0.001,228.95,-0.17,0,1.036,0.16,0,0,0,0
-5.119,-1.732,0.002,219.7,0.17,0,1.027,0.219,0,0,0,0
-5.122,-1.735,0.001,219.7,0.38,0,1.027,0.219,0,0,0,0
-5.122,-1.735,0.001,219.7,0.38,0,1.027,0.219,0,0,0,0
-5.118,-1.741,0.001,219.72,0,0,1.043,0.219,0,0,0,0
-5.118,-1.741,0.001,219.72,0,0,1.043,0.197,0,0,0,0
-5.118,-1.741,0.001,219.72,0,0,1.043,0.197,0,0,0,0
-5.122,-1.739,0,219.72,0.16,0,1.047,0.197,0,0,0,0
-5.122,-1.739,0,219.72,0.16,0,1.047,0.181,0,0,0,0
-5.122,-1.739,0,219.72,0.16,0,1.047,0.181,0,0,0,0
-5.122,-1.739,0,219.72,0.16,0,1.047,0.181,0,0,0,0
-5.12,-1.742,0,219.72,0.16,0,1.042,0.215,0,0,0,0
-5.12,-1.742,0,219.72,0.16,0,1.042,0.215,0,0,0,0
-5.121,-1.737,-0.001,220.14,-0.16,0,1.044,0.215,0,0,0,0
-5.121,-1.737,-0.001,220.14,-0.16,0,1.044,0.223,0,0,0,0
-5.121,-1.737,-0.001,220.14,-0.16,0,1.044,0.223,0,0,0,0
-5.121,-1.737,-0.001,220.14,-0.16,0,1.044,0.223,0,0,0,0
-5.126,-1.743,-0.001,220.58,-0.17,0,1.037,0.223,0,0,0,0
-5.126,-1.743,-0.001,220.58,-0.17,0,1.037,0.223,0,0,0,0
-5.132,-1.74,-0.001,220.58,0,0,1.05,0.223,0,0,0,0
-5.132,-1.74,-0.001,220.58,0,0,1.05,0.262,0,0,0,0
-5.132,-1.74,-0.001,220.58,0,0,1.05,0.262,0,0,0,0
-5.136,-1.741,-0.001,220.19,0.03,0,1.041,0.262,0,0,0,0
-5.136,-1.741,-0.001,220.19,0.03,0,1.041,0.262,0,0,0,0
-5.136,-1.741,-0.001,220.19,0.03,0,1.041,0.262,0,0,0,0
-5.131,-1.74,0,220.19,0.03,0,1.034,0.262,0,0,0,0
-5.131,-1.74,0,220.19,0.03,0,1.034,0.262,0,0,0,0
-5.131,-1.74,0,220.19,0.03,0,1.034,0.262,0,0,0,0
-5.131,-1.74,0,220.19,0.03,0,1.034,0.262,0,0,0,0
-5.134,-1.738,0,220.16,0,0,1.038,0.262,0,0,0,0
-5.134,-1.738,0,220.16,0,0,1.038,0.262,0,0,0,0
-5.132,-1.735,0,219.74,0,0,1.052,0.262,0,0,0,0
-5.132,-1.735,0,219.74,0,0,1.052,0.262,0,0,0,0
-5.132,-1.735,0,219.74,0,0,1.052,0.262,0,0,0,0
-5.132,-1.735,0,219.74,0,0,1.052,0.262,0,0,0,0
-5.128,-1.735,0,220.16,0.33,0,1.045,0.161,0,0,0,0
-5.128,-1.735,0,220.16,0.33,0,1.045,0.161,0,0,0,0
-5.129,-1.732,0.001,220.16,0.33,0,1.04,0.161,0,0,0,0
-5.129,-1.732,0.001,219.74,0,0,1.04,0.154,0,0,0,0
-5.129,-1.732,0.001,219.74,0,0,1.04,0.154,0,0,0,0
-5.129,-1.732,0.001,219.74,0,0,1.04,0.154,0,0,0,0
-5.131,-1.733,0,220.16,0,0,1.024,0.128,0,0,0,0
-5.131,-1.733,0,220.16,0,0,1.024,0.128,0,0,0,0
-5.131,-1.733,0,220.16,0,0,1.024,0.128,0,0,0,0
-5.133,-1.731,-0.001,220.16,0.41,0,1.036,0.128,0,0,0,0
-5.133,-1.731,-0.001,220.16,0.41,0,1.036,0.128,0,0,0,0
-5.133,-1.731,-0.001,220.16,0.41,0,1.036,0.128,0,0,0,0
-5.134,-1.729,-0.001,220.16,0.41,0,1.044,0.168,0,0,0,0
